Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Adjustment Count P2
1,0,1,1,20,0.4,0.6,False,True,3,5,0,0,571,-582,0,0,4.3520286408586326e-80,3.298237614602676e-66,11
2,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2514494,-2514505,0,0,0.0,0.0,8
3,0,1,1,20,0.4,0.6,False,True,2,6,0,0,1268,-1280,0,0,1.3338425095014326e-84,2.823494477129341e-48,9
4,0,0,0,20,0.0,1.0,False,True,4,10,0,0,3771039,-3771050,0,0,4.09629009731483e-229,4.0962900973148316e-229,13
5,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-753754,753107,0,0,3.4854797996338503e-267,3.6372267241000567e-249,12
6,0,0,0,20,0.0,1.0,False,True,4,10,0,2,3516119,-3516129,0,111000,0.0,0.0,5
7,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-1005181,1005170,0,0,2.979122971939e-311,1.2203114627137e-311,9
8,0,0,0,20,0.0,1.0,False,True,4,11,0,0,2511189,-2511200,0,0,0.0,0.0,8
9,0,0,0,20,0.0,1.0,False,True,4,10,0,0,3519812,-3519823,0,0,3.8057353419459858e-286,3.8057353418489095e-286,11
10,0,1,1,20,0.4,0.6,False,True,2,11,0,0,1003437,-1003450,0,0,1.7827072920585857e-84,6.973336253553674e-49,9
11,0,1,0,20,0.5,0.5,False,True,4,4,0,0,-53,43,0,0,3.9628635275371765e-152,2.976012445295398e-126,17
12,0,0,0,20,1.0,0.0,True,False,3,5,0,0,-2779,2759,0,0,7.841649400494393e-200,7.841649400494393e-200,8
13,0,1,0,20,0.45,0.55,False,True,10,10,0,0,250729,-250740,0,0,1.5731399763248806e-148,5.920611293528906e-131,16
14,0,0,0,20,1.0,0.0,True,False,10,11,0,2,-502970,502322,0,126000,5.276697310453437e-217,4.8450030998235474e-197,12
15,0,1,1,20,0.85,0.15,False,True,3,11,0,0,249427,-250061,0,0,5.43692539071848e-81,2.437190174467175e-87,11
16,0,0,0,20,1.0,0.0,True,False,10,11,0,0,-502779,502768,0,0,0.0,0.0,10
17,0,1,0,20,0.35,0.65,False,True,1,10,0,0,3009717,-3009732,0,0,1.2544328269582585e-160,1.864978500691581e-137,12
18,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3017860,-3017870,0,0,3.474825559840384e-254,1.9167895843832616e-262,10
19,0,1,0,20,0.35,0.65,False,True,1,10,0,0,3009618,-3009631,0,0,1.4371874363585913e-154,1.4371874363585913e-154,11
20,0,0,0,20,0.0,1.0,False,True,4,11,0,0,1759738,-1759749,0,0,0.0,0.0,8
21,0,1,2,20,0.2,0.8,False,True,2,10,0,2,2508165,-2508181,0,74000,2.1005004089892656e-69,8.772301016696267e-31,12
22,0,0,0,20,0.0,1.0,False,True,10,11,0,0,1758184,-1758194,0,0,0.0,0.0,8
23,0,0,0,20,0.0,1.0,False,True,10,11,0,0,2008833,-2008844,0,0,0.0,0.0,8
24,0,1,0,20,0.85,0.15,False,True,4,4,0,0,-302,291,0,0,4.841928509789109e-149,2.171432171938504e-126,18
25,0,0,0,20,0.0,1.0,False,True,4,11,0,0,3767644,-3767654,0,0,0.0,0.0,8
