 
Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Adjustment Count P2
1,0,0,0,10,1.0,0.0,True,False,10,4,0,1,-827,790,0,41000,0.0,0.0,0
2,0,0,0,10,0.0,1.0,False,True,5,9,0,1,502951,-503017,0,41000,0.0,0.0,0
 
Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Adjustment Count P2
1,1,0,1,20,0.6,0.4,True,False,11,3,0,5,-347,322,0,289000,4.3520286408586326e-80,4.3520286408586326e-80,12
2,0,0,0,20,1.0,0.0,True,False,11,4,0,0,-2514494,2514469,0,0,0.0,0.0,4
3,1,0,1,20,0.6,0.4,True,False,6,3,0,4,-919,894,0,201000,1.3338425095014326e-84,1.061978957662159e-84,7
4,0,0,1,20,1.0,0.0,True,False,10,4,5,0,-3770907,3770894,281000,0,3.9911674353656496e-71,5.544726806162429e-51,10
5,0,0,1,20,0.0,1.0,False,True,11,10,0,3,753684,-753713,0,147000,4.405010867111339e-86,4.405010867111385e-86,10
6,0,0,0,20,1.0,0.0,True,False,10,4,4,0,-3515714,3515078,265000,0,0.0,0.0,4
7,0,0,0,20,0.0,1.0,False,True,11,10,0,0,1005166,-1005192,0,0,9.090376588332819e-198,9.090376588332819e-198,8
8,0,0,0,20,1.0,0.0,True,False,11,4,0,0,-2511189,2511164,0,0,0.0,0.0,4
9,0,0,2,20,1.0,0.0,True,False,11,4,0,1,-3520164,3520125,0,52000,4.218736784815232e-59,2.5398528024473563e-47,13
10,1,0,1,20,0.6,0.4,True,False,11,3,0,5,-1003092,1003067,0,289000,1.7827072920585857e-84,1.6828236602545418e-84,12
11,1,0,1,20,0.75,0.25,True,False,6,3,0,0,-1298,1273,0,0,4.766919479987137e-97,2.2363187641148833e-109,8
12,0,0,1,20,0.0,1.0,False,True,5,3,0,0,2772,-3424,0,0,2.1313878357892213e-06,1.503785704269489e-46,6
13,1,0,1,20,0.75,0.25,True,False,11,9,0,2,-1003920,1003261,0,118000,4.0243239719610186e-107,1.94703650910063e-114,10
14,0,0,0,20,0.0,1.0,False,True,11,10,0,0,502958,-503611,0,0,4.754897948217498e-244,1.5928887405565375e-182,6
15,1,0,1,20,0.4,0.6,True,False,11,9,2,0,-250274,250255,108000,0,1.2803232313292793e-68,2.4705686207177455e-46,13
16,1,0,1,20,0.15,0.85,True,False,11,9,0,0,251681,-251721,0,0,2.394760795779427e-93,4.158311898098038e-44,11
17,1,0,1,20,0.75,0.25,True,False,11,1,0,0,-3261528,3261503,0,0,2.541627083031504e-104,4.974085311104889e-117,6
18,0,0,0,20,1.0,0.0,True,False,11,4,0,0,-3017906,3017884,0,0,3.944672807389136e-142,5.5245662475367146e-73,6
19,1,0,1,20,0.7,0.3,True,False,11,1,0,0,-3261428,3261403,0,0,4.872753998086447e-105,1.326302317410245e-162,6
20,0,0,0,20,1.0,0.0,True,False,11,4,0,0,-1759738,1759079,0,0,0.0,0.0,6
21,1,0,2,20,0.8,0.2,True,False,11,10,0,0,-502383,502354,0,0,2.1005004089892656e-69,2.207931802195157e-79,12
22,0,0,0,20,1.0,0.0,True,False,11,10,0,0,-1758184,1758158,0,0,0.0,0.0,5
23,0,0,0,20,1.0,0.0,True,False,11,10,0,0,-2008833,2008808,0,0,0.0,0.0,4
24,1,0,1,20,0.7,0.3,True,False,6,3,0,0,-1338,1313,0,0,1.0338412520919654e-117,5.195001146427812e-80,9
25,0,0,0,20,1.0,0.0,True,False,11,4,0,0,-3767644,3767619,0,0,0.0,0.0,4
26,0,0,0,20,1.0,0.0,True,False,11,4,0,0,-1007950,1007925,0,0,0.0,0.0,4
27,0,0,1,20,1.0,0.0,True,False,11,3,0,0,-502801,502772,0,0,1.3882900106851432e-71,1.9592014742934743e-76,6
28,1,0,1,20,0.8,0.2,True,False,11,3,0,5,-753455,753430,0,212000,5.032110233335854e-84,1.1994782956808847e-78,11
29,1,0,1,20,0.05,0.95,True,False,11,3,0,0,3041,-3066,0,0,3.7264875768116684e-67,3.7264875768116684e-67,5
30,0,0,0,20,1.0,0.0,True,False,11,4,0,0,-755236,755211,0,0,0.0,0.0,5
31,0,0,0,20,0.0,1.0,False,True,6,10,0,0,1759400,-1759425,0,0,0.0,0.0,4
32,1,0,1,20,0.65,0.35,True,False,6,3,0,0,-902,877,0,0,3.5710507731710833e-93,4.3656166779323585e-56,7
33,0,0,0,20,0.0,1.0,False,True,11,10,0,0,1255721,-1256373,0,0,0.0,0.0,6
34,0,0,0,20,0.0,1.0,False,True,5,4,0,0,2020,-2053,0,0,2.839019294154923e-133,2.1701089976715013e-142,6
