Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Initial X Position P2,Initial Y Position P2,Adjustment Count P2,Seed: 41
1,0,1,0,22,0.82,0.18,False,True,9,10,0,0,-4.95,5.28,0.13,3.46,1.94,0.66,381,361,427,602,6,,,,,
2,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.88,-6.82,0.3,2.44,0.71,0.25,377,391,401,552,2,,,,,
3,0,1,0,22,0.5,0.45,False,True,9,10,0,3,4.13,-4.24,0.11,3.9,1.02,0.42,475,190,412,274,5,,,,,
4,0,1,0,22,0.55,0.45,False,True,3,4,0,3,3.86,-3.89,0.11,3.89,1.01,0.38,976,597,1022,471,5,,,,,
5,0,1,0,22,0.59,0.41,False,True,9,10,0,0,0.43,-0.35,0.22,2.69,1.1,0.62,853,138,697,100,7,,,,,
6,0,1,0,22,0.68,0.27,False,True,3,4,0,0,-2.72,2.99,0.08,3.24,0.82,0.38,454,638,656,747,4,,,,,
7,0,1,0,22,0.91,0.09,False,True,3,4,0,7,-5.39,5.62,0.2,5.57,0.44,0.42,747,747,945,639,5,,,,,
8,0,1,0,22,0.41,0.59,False,True,3,4,0,0,4.84,-4.92,0.13,3.13,1.36,0.22,988,576,1019,486,5,,,,,
9,0,1,0,22,0.73,0.27,False,True,9,10,0,0,-3.76,4.14,0.21,3.55,0.69,0.2,404,290,390,523,5,,,,,
10,0,1,0,22,0.5,0.5,False,True,3,11,0,0,3.58,-3.4,0.27,2.18,0.62,1.37,428,602,566,721,5,,,,,
11,0,1,0,22,0.59,0.41,False,True,9,10,0,0,0.43,-0.35,0.22,2.69,1.1,0.62,853,138,697,100,7,,,,,
12,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.83,-6.77,0.3,2.44,0.7,0.24,381,485,450,633,2,,,,,
13,0,1,0,22,0.91,0.09,False,True,3,4,0,4,-3.98,4.13,0.13,4.74,2.62,1.1,686,750,881,695,7,,,,,
