Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Initial X Position P2,Initial Y Position P2,Adjustment Count P2,Seed: 41
1,0,0,0,22,1,0,True,False,9,10,0,0,-6.75,6.94,0.09,3.77,1.25,0,381,361,427,602,0,,,,,
2,0,0,0,22,1,0,True,False,9,10,0,4,-5.07,5.08,0.1,5.21,1.81,0,377,391,401,552,0,,,,,
3,0,0,0,22,1,0,True,False,9,9,0,0,-5.5,5.45,0.1,2.91,1.76,0,475,190,412,274,0,,,,,
4,0,0,0,22,1,0,True,False,3,4,0,0,-5.52,5.33,0.1,3.14,1.57,0.14,976,597,1022,471,0,,,,,
5,0,0,0,22,1,0,True,False,9,10,0,4,-4.94,4.95,0.1,5.21,1.9,0,853,138,697,100,0,,,,,
6,0,1,0,22,0.68,0.32,False,True,3,10,0,0,-2.08,2.25,0.92,2.24,0.59,0,454,638,656,747,0,,,,,
7,0,1,0,22,0.68,0.32,False,True,3,5,0,0,-1.8,1.96,0.92,2.24,0.69,0,747,747,945,639,0,,,,,
8,0,0,0,22,1,0,True,False,3,3,0,0,-5.6,5.59,0.1,1.98,1.57,0,988,576,1019,486,0,,,,,
9,0,1,0,22,0.95,0.05,False,True,9,10,0,0,-6.71,6.91,0.13,1.57,0.87,0,404,290,390,523,0,,,,,
10,0,1,0,22,0.77,0.23,False,True,3,4,0,0,-3.61,3.71,0.3,3.79,1.16,0,428,602,566,721,0,,,,,
11,0,0,0,22,1,0,True,False,9,10,0,4,-4.94,4.95,0.1,5.21,1.9,0,853,138,697,100,0,,,,,
12,0,1,0,22,0.95,0.05,False,True,9,10,0,0,-4.33,4.21,0.13,4.77,1.25,0,381,485,450,633,0,,,,,
13,0,0,0,22,1,0,True,False,3,4,0,1,-5.12,5.32,0.1,4.32,2.23,0,686,750,881,695,0,,,,,
14,0,1,0,22,0.68,0.32,False,True,3,10,0,0,-2.08,2.25,0.92,2.24,0.59,0,454,638,656,747,0,,,,,
15,0,0,0,22,1,0,True,False,9,10,0,2,-5.97,6.05,0.1,3.93,2.22,0,638,106,472,193,0,,,,,
16,0,0,0,22,1,0,True,False,9,10,0,0,-8.45,8.85,0.1,3.12,1,0,377,391,465,650,0,,,,,
17,0,0,0,22,1,0,True,False,3,3,0,0,-7.86,8.24,0.1,3.27,1.77,0.34,947,637,1024,447,0,,,,,
18,0,0,0,22,1,0,True,False,3,4,0,0,-6.27,6.17,0.1,1.42,0.99,0.16,396,541,474,658,0,,,,,
19,0,0,0,22,1,0,True,False,3,4,0,4,-5.07,5.08,0.1,5.21,1.81,0,380,479,446,628,0,,,,,
20,0,1,0,22,0.91,0.09,False,True,3,4,0,0,-6.43,6.5,0.07,1.63,1.65,0.24,748,747,952,630,0,,,,,
21,0,0,0,22,1,0,True,False,3,4,0,0,-6.2,6.19,0.1,3.2,1.35,0,879,696,995,561,0,,,,,
22,0,0,0,22,1,0,True,False,3,4,0,0,-6.2,6.19,0.1,3.2,1.35,0,879,696,995,561,0,,,,,
23,0,0,0,22,1,0,True,False,9,10,0,4,-4.92,4.92,0.1,5.21,1.92,0,487,179,396,311,0,,,,,
24,0,1,0,22,0.45,0.55,False,True,1,10,0,0,13.87,-14.12,1.08,1.51,1.46,0.48,404,559,481,665,0,,,,,
25,0,0,0,22,1,0,True,False,3,4,0,0,-5.52,5.33,0.1,3.14,1.57,0.14,976,597,1022,471,0,,,,,
26,0,0,0,22,1,0,True,False,3,3,0,0,-12.98,13.68,0.1,1.29,0.51,0,702,750,957,624,0,,,,,
27,0,0,0,22,1,0,True,False,9,4,0,0,-6.63,6.66,0.1,2.52,0.95,0,375,425,431,608,0,,,,,
28,0,1,0,22,0.68,0.32,False,True,3,5,0,0,-1.8,1.96,0.92,2.24,0.69,0,747,747,945,639,0,,,,,
29,0,0,0,22,1,0,True,False,9,10,0,1,-5.15,5.35,0.1,4.32,2.22,0,428,247,375,443,0,,,,,
30,0,1,0,22,0.5,0.5,False,True,9,11,0,0,5.12,-5.03,1.37,2.21,0.43,0.15,999,299,886,158,0,,,,,
31,0,0,0,22,1,0,True,False,3,4,0,0,-6.55,6.55,0.1,1.63,1.3,0.15,415,581,535,705,0,,,,,
32,0,0,0,22,1,0,True,False,9,10,0,0,-6.08,5.97,0.1,2.07,0.62,0,426,250,378,380,0,,,,,
33,0,0,0,22,1,0,True,False,9,10,0,2,-8.53,9.16,0.1,2.85,1.52,0.17,956,224,692,100,0,,,,,
34,0,0,0,22,1,0,True,False,3,3,0,0,-7.9,8.29,0.1,3.27,1.77,0.34,565,721,770,742,0,,,,,
35,0,0,0,22,1,0,True,False,3,2,0,0,-17.02,17.79,0.1,1.75,0.27,0,404,560,618,739,0,,,,,
36,0,0,0,22,1,0,True,False,3,3,0,0,-5.6,5.59,0.1,1.98,1.57,0,988,576,1019,486,0,,,,,
37,0,0,0,22,1,0,True,False,9,8,0,0,-16.9,17.67,0.1,1.75,0.29,0,947,214,695,100,0,,,,,
38,0,1,0,22,0.95,0.05,False,True,3,4,0,0,-5.35,5.16,0.1,2.17,1.82,0.28,480,665,585,729,0,,,,,
39,0,0,0,22,1,0,True,False,9,7,0,0,-20.1,20.49,0.1,2.98,0.42,0,930,196,783,111,0,,,,,
40,0,0,0,22,1,0,True,False,9,10,0,4,-4.92,4.92,0.1,5.21,1.92,0,487,179,396,311,0,,,,,
41,0,0,0,22,1,0,True,False,9,10,0,0,-7.66,7.95,0.13,3.69,0.96,0,608,113,406,286,0,,,,,
42,0,1,0,22,0.95,0.05,False,True,9,10,0,0,-4.33,4.21,0.13,4.77,1.25,0,381,485,450,633,0,,,,,
43,0,1,0,22,0.45,0.55,False,True,7,10,0,0,13.94,-14.19,1.08,1.51,1.47,0.48,779,110,649,104,0,,,,,
44,0,0,0,22,1,0,True,False,3,4,0,0,-7.4,7.63,0.1,2.72,1.26,0,436,614,637,744,0,,,,,
45,0,0,0,22,1,0,True,False,9,10,0,0,-7.98,8.31,0.1,2.19,1.43,0,1020,370,880,155,0,,,,,
46,0,0,0,22,1,0,True,False,9,10,0,0,-6.28,6.23,0.1,2.95,1.53,0,986,270,872,149,0,,,,,
47,0,0,0,22,1,0,True,False,3,4,0,4,-5.07,5.08,0.1,5.21,1.81,0,380,479,446,628,0,,,,,
48,0,0,0,22,1,0,True,False,9,10,0,0,-6.08,5.97,0.1,2.07,0.62,0,426,250,378,380,0,,,,,
49,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-2.62,2.6,0.18,3.82,1.94,0,874,150,735,102,0,,,,,
50,0,0,0,22,1,0,True,False,3,4,0,4,-4.99,5,0.1,5.21,1.87,0,872,701,983,584,0,,,,,
51,0,1,0,22,0.68,0.32,False,True,3,5,0,0,-1.8,1.96,0.92,2.24,0.69,0,747,747,945,639,0,,,,,
52,0,0,0,22,1,0,True,False,9,10,0,0,-8,8.32,0.1,1.89,1.35,0.14,950,218,726,101,0,,,,,
53,0,0,0,22,1,0,True,False,9,10,0,0,-8.18,8.51,0.1,1.89,1.2,0,808,119,554,135,0,,,,,
54,0,1,0,22,0.45,0.55,False,True,1,5,0,0,13.94,-14.19,1.08,1.51,1.47,0.48,762,744,882,694,0,,,,,
55,0,1,0,22,0.45,0.55,False,True,1,10,0,0,13.87,-14.12,1.08,1.51,1.46,0.48,404,559,481,665,0,,,,,
56,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-2,2.17,0.92,2.24,0.62,0,977,255,797,115,0,,,,,
57,0,0,0,22,1,0,True,False,9,10,0,1,-5.15,5.35,0.1,4.32,2.22,0,428,247,375,443,0,,,,,
58,0,0,0,22,1,0,True,False,9,9,0,0,-5.6,5.6,0.1,1.98,1.57,0,606,114,520,154,0,,,,,
59,0,1,0,22,0.27,0.73,False,True,9,11,0,0,11.35,-11.52,0.22,2.66,0.59,0,441,229,389,332,0,,,,,
60,0,1,0,22,0.68,0.32,False,True,3,10,0,0,-2.08,2.25,0.92,2.24,0.59,0,454,638,656,747,0,,,,,
61,0,0,0,22,1,0,True,False,3,4,0,0,-6.65,6.78,0.1,2.79,2.25,0.16,425,598,571,723,0,,,,,
62,0,0,0,22,1,0,True,False,3,2,0,0,-17.02,17.79,0.1,1.75,0.27,0,404,560,618,739,0,,,,,
