 
Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Adjustment Count P2
1,0,1,0,10,0.4,0.6,False,True,2,5,3,0,711,-758,396000,0,3.719543288794842e-241,2.7000900217660385e-110,0
2,0,0,0,10,0.0,1.0,False,True,4,10,1,0,1006018,-1006047,41000,0,0.0,0.0,0
3,0,1,0,10,0.4,0.6,False,True,2,5,3,0,572,-618,362000,0,5.376509330357431e-178,1.4158248975207757e-186,0
4,0,0,1,10,0.0,1.0,False,True,4,10,1,2,1508546,-1508578,41000,222000,4.155868847084086e-161,5.360495411342872e-167,0
5,0,0,1,10,1.0,0.0,True,False,9,10,0,2,-251319,250647,0,186000,3.1519115209982913e-73,3.1519115209982913e-73,0
6,0,0,0,10,0.0,1.0,False,True,4,10,1,0,1507072,-1507101,41000,0,0.0,0.0,0
7,0,0,0,10,1.0,0.0,True,False,9,10,1,0,-502523,502494,41000,0,3.999711146358435e-281,3.575800589546855e-290,0
8,0,0,0,10,0.0,1.0,False,True,4,10,1,0,1004452,-1004481,41000,0,0.0,0.0,0
9,0,0,1,10,0.0,1.0,False,True,3,10,0,2,1508822,-1508878,0,186000,1.1473088808347092e-78,7.692030963585265e-145,0
10,0,1,0,10,0.4,0.6,False,True,2,10,3,0,250644,-250690,362000,0,1.5404605539392544e-177,4.014507720657429e-187,0
11,0,1,0,10,0.3,0.7,False,True,3,5,0,0,769,-782,0,0,4.30167616154656e-203,6.011841330079823e-100,0
12,0,0,0,10,1.0,0.0,True,False,9,5,0,0,-742,81,0,0,0.0,0.0,0
13,0,1,0,10,0.3,0.7,False,True,3,10,0,2,501160,-501807,0,267000,7.97260931911602e-170,3.0351599263437888e-34,0
14,0,0,3,10,1.0,0.0,True,False,2,4,0,0,-603,548,0,0,1.5416615229599337e-92,1.5416615229599337e-92,0
15,0,1,0,10,0.6,0.4,False,True,3,10,0,1,-600,575,0,55000,1.1499181553294185e-207,1.0581911110624212e-119,0
16,0,1,1,10,0.7,0.3,False,True,2,10,0,2,500544,-500598,0,186000,1.1234878931034917e-88,5.318675283530268e-45,0
17,0,1,0,10,0.3,0.7,False,True,8,10,0,0,684,-721,0,0,1.0660260459389024e-154,5.0072455516314386e-40,0
18,0,0,1,10,0.0,1.0,False,True,4,10,1,0,1257668,-1257697,41000,0,2.207642600841631e-194,1.4982902466747657e-221,0
19,0,1,0,10,0.4,0.6,False,True,8,10,0,0,-250290,250270,0,0,5.636330288542541e-195,4.9580431550481746e-176,0
20,0,0,0,10,0.0,1.0,False,True,4,10,1,0,503179,-503208,41000,0,0.0,0.0,0
21,0,1,1,10,0.1,0.9,False,True,8,10,0,0,501970,-502001,0,0,1.2765506621094784e-123,3.063344995198691e-40,0
22,0,0,0,10,0.0,1.0,False,True,9,10,1,0,753277,-753306,41000,0,0.0,0.0,0
23,0,0,0,10,0.0,1.0,False,True,4,10,1,0,753002,-753031,41000,0,0.0,0.0,0
24,0,1,0,10,0.3,0.7,False,True,3,5,0,0,708,-728,0,0,1.0545465327286237e-179,6.448246656872935e-89,0
25,0,0,0,10,0.0,1.0,False,True,4,10,1,1,1506881,-1506910,41000,23000,0.0,0.0,0
26,0,0,0,10,0.0,1.0,False,True,4,10,1,0,252808,-252837,41000,0,0.0,0.0,0
27,0,0,1,10,0.0,1.0,False,True,2,4,5,0,1260,-1285,727000,0,1.0997472535117564e-147,0.0,0
28,0,1,0,10,0.2,0.8,False,True,3,10,0,0,147,-169,0,0,5.692716038860828e-162,5.714084303450392e-85,0
29,0,0,0,10,1.0,0.0,True,False,9,5,1,0,-557,528,41000,0,0.0,0.0,0
30,0,0,0,10,0.0,1.0,False,True,4,10,1,0,1125,-1154,41000,0,0.0,0.0,0
31,0,0,0,10,1.0,0.0,True,False,9,5,0,0,-503091,502431,0,0,0.0,0.0,0
32,0,1,0,10,0.4,0.6,False,True,3,5,0,0,559,-577,0,0,1.9688229252915304e-209,4.275306258920945e-97,0
33,0,0,0,10,1.0,0.0,True,False,9,10,0,0,-502240,501581,0,0,2.5189902354401896e-248,1.0282886331679292e-237,0
34,0,0,0,10,1.0,0.0,True,False,4,5,1,0,-957,919,41000,0,1.6886054720803525e-186,1.296747774648364e-222,0
35,0,0,0,10,0.0,1.0,False,True,4,10,1,0,502106,-502135,41000,0,0.0,0.0,0
36,0,0,0,10,1.0,0.0,True,False,8,5,0,0,-1256549,1255897,0,0,0.0,0.0,0
